AAPL
MSFT
AMZN
FB
JPM
BRKB
GOOG
GOOGL
JNJ
XOM
BAC
WFC
V
UNH
CVX
T
PFE
HD
INTC
VZ
CSCO
PG
BA
C
MA
KO
MRK
DIS
CMCSA
PEP
DWDP
ABBV
NVDA
NFLX
ORCL
PM
IBM
AMGN
WMT
MCD
MMM
MDT
ADBE
HON
GE
UNP
ABT
MO
TXN
ACN
UTX
GILD
PYPL
BKNG
CRM
NKE
BMY
AVGO
COST
LLY
QCOM
TMO
SLB
COP
GS
CAT
UPS
LOW
USB
LMT
NEE
EOG
AXP
BIIB
SBUX
PNC
BDX
CVS
CELG
CB
AMT
ANTM
OXY
DHR
MS
MDLZ
AGN
BLK
SCHW
MU
TJX
FDX
AET
ADP
CSX
WBA
ISRG
DUK
CL
RTN
SYK
ATVI
CHTR
SPG
CME
PSX
GD
VLO
AMAT
SPGI
BK
INTU
AIG
GM
SO
NOC
ITW
PX
ILMN
NSC
CTSH
FOXA
D
DE
BSX
CCI
COF
EMR
VRTX
ESRX
TGT
HUM
PRU
MMC
CI
ICE
ZTS
EXC
TSLA
KMB
BBT
MET
F
EA
WM
HPQ
APC
MAR
MPC
HAL
SHW
ETN
KHC
APD
BAX
AFL
ECL
LYB
DAL
TRV
AEP
AON
PGR
PLD
EQIX
HCA
JCI
KMI
ALL
STZ
NXPI
PSA
PXD
SYY
STT
EBAY
LUV
REGN
EL
ALXN
PPG
GIS
MCK
YUM
LVS
MNST
HPE
CCL
FOX
TMUS
AMTD
USD
BHGE
VMW
SCCO
