id,method,value
85,qp_ns,1337760.603623504
86,qp_ns,1346229.3406292445
87,qp_ns,1313570.3666325517
88,qp_ns,1311616.9220082178
89,qp_ns,1321787.4875292494
90,qp_ns,1322563.1509395053
91,qp_ns,1323425.703705267
92,qp_ns,1326201.7270579706
93,qp_ns,1310822.5543603024
94,qp_ns,1336240.2708104083
95,qp_ns,1307959.488587455
96,qp_ns,1312112.0502488718
97,qp_ns,1311616.5136326207
98,qp_ns,1318481.5004072688
99,qp_ns,1327823.4667501417
100,qp_ns,1305068.4067990028
1,qp_l,1323534.631393922
2,qp_l,1312293.4012576798
3,qp_l,1332750.1484941065
4,qp_l,1330208.783414377
5,qp_l,1322527.223076697
6,qp_l,1333436.7623113573
7,qp_l,1326373.8844050919
8,qp_l,1334422.42597165
9,qp_l,1329181.6178620248
10,qp_l,1339198.4868699335
11,qp_l,1324939.5123247048
12,qp_l,1333087.7320065803
13,qp_l,1312300.6070758249
14,qp_l,1336238.691556556
15,qp_l,1327158.0201001584
16,qp_l,1312181.5091392433
17,qp_l,1305009.6184208267
18,qp_l,1332811.8754990054
19,qp_l,1329617.2243695117
20,qp_l,1323905.8318500665
21,qp_l,1328402.9916899737
22,qp_l,1347826.5760899715
23,qp_l,1326637.9276384166
24,qp_l,1314244.0488184833
25,qp_l,1345629.9167115248
26,qp_l,1300536.7655923546
27,qp_l,1325171.2428532687
28,qp_l,1349551.047539542
29,qp_l,1323380.7532490036
30,qp_l,1326910.633760217
31,qp_l,1349490.883353372
32,qp_l,1328177.1262287367
33,qp_l,1331503.7778482123
34,qp_l,1300841.2384983927
35,qp_l,1305716.5037007215
36,qp_l,1327516.223616592
37,qp_l,1324142.0420907976
38,qp_l,1349872.5078366308
39,qp_l,1330608.6281029796
40,qp_l,1322015.5661931806
41,qp_l,1325686.1510658679
42,qp_l,1369418.8695254028
43,qp_l,1332083.2364281123
44,qp_l,1323663.5997258977
45,qp_l,1331391.4608566924
46,qp_l,1325579.8249432077
47,qp_l,1321403.8083628514
48,qp_l,1326506.1742324773
49,qp_l,1349471.8975022675
50,qp_l,1328594.7480285622
51,qp_l,1337478.9724061012
52,qp_l,1369687.7292890856
53,qp_l,1330419.2998341424
54,qp_l,1305852.0994383066
55,qp_l,1302909.6038737705
56,qp_l,1304340.4832592437
57,qp_l,1321798.5908836029
58,qp_l,1303752.845203934
59,qp_l,1306594.389631418
60,qp_l,1333142.2474157412
61,qp_l,1323829.8477253092
62,qp_l,1325255.984859062
63,qp_l,1301625.7020222738
64,qp_l,1315683.1246538905
65,qp_l,1328433.7296315036
66,qp_l,1335061.7359527738
67,qp_l,1347839.1041946032
68,qp_l,1304703.9524417042
69,qp_l,1303986.9854155625
70,qp_l,1328123.2809822913
71,qp_l,1347684.7627822428
72,qp_l,1334770.3706018934
73,qp_l,1330630.907165021
74,qp_l,1324780.5875215107
75,qp_l,1326724.0563680464
76,qp_l,1322098.4164936645
77,qp_l,1324529.7565830105
78,qp_l,1349801.9583205238
79,qp_l,1314834.386069499
80,qp_l,1306433.8123407213
81,qp_l,1333416.9967187985
82,qp_l,1333930.103825252
83,qp_l,1338315.9371105689
84,qp_l,1314711.9507670093
85,qp_l,1335165.9129744885
86,qp_l,1337566.299545832
87,qp_l,1367536.0541205464
88,qp_l,1335169.5385515005
89,qp_l,1322507.6512563115
90,qp_l,1334293.3905574412
91,qp_l,1333888.9580130163
92,qp_l,1335946.587446952
93,qp_l,1321623.4597939441
94,qp_l,1336753.44603117
95,qp_l,1373068.6327812935
96,qp_l,1333187.1955375255
97,qp_l,1323943.2274012761
98,qp_l,1320933.323173226
99,qp_l,1312377.9419909583
100,qp_l,1305349.1519660503
1,qp_cv,1312245.6980442142
2,qp_cv,1309946.0328479023
3,qp_cv,1302277.6875387174
4,qp_cv,1302189.3792978553
5,qp_cv,1301470.535769978
6,qp_cv,1328662.433095021
7,qp_cv,1317621.5741489755
8,qp_cv,1309632.3669536742
9,qp_cv,1302783.1762307298
10,qp_cv,1317244.5914369626
11,qp_cv,1298571.852550341
12,qp_cv,1310815.4274104189
13,qp_cv,1308485.6966974374
14,qp_cv,1309533.7744648885
15,qp_cv,1307513.620540949
16,qp_cv,1316791.5580521491
17,qp_cv,1324721.521504019
18,qp_cv,1309751.8402085658
19,qp_cv,1323749.9096302607
20,qp_cv,1312630.8763017002
21,qp_cv,1331115.4332132044
22,qp_cv,1321039.679834435
23,qp_cv,1302233.3413936512
24,qp_cv,1315225.260755924
25,qp_cv,1307571.7859729785
26,qp_cv,1330474.392920429
27,qp_cv,1299449.1850566533
28,qp_cv,1320953.2064522228
29,qp_cv,1310304.653910321
30,qp_cv,1329451.5792691945
31,qp_cv,1308740.0219753003
32,qp_cv,1323414.4831300117
33,qp_cv,1309886.9371212854
34,qp_cv,1326065.670392309
35,qp_cv,1317541.489508347
36,qp_cv,1317685.114012279
37,qp_cv,1317838.4698323666
38,qp_cv,1327242.0401859751
39,qp_cv,1314923.5530568156
40,qp_cv,1300114.3302146888
